ip,time,request,status,size,referer,user_agent
66.249.68.229,19/Jul/2011 05:08:59,"""GET /icons/text.gif HTTP/1.1""",200,229.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 05:27:45,"""GET /icons/unknown.gif HTTP/1.1""",200,245.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 07:57:44,"""GET /robots.txt HTTP/1.1""",404,289.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 07:57:44,"""GET /images/grey-corner-right-top.gif HTTP/1.1""",404,304.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 08:16:30,"""GET /images/grey-corner-right-top.gif HTTP/1.1""",404,324.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 08:53:59,"""GET /images/spacer-grey.gif HTTP/1.1""",404,297.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 09:31:29,"""GET /images/logo20110202.png HTTP/1.1""",404,299.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 10:08:59,"""GET /images/spacer-white.gif HTTP/1.1""",404,318.0,"""-""","""Googlebot-Image/1.0"""
119.63.196.115,19/Jul/2011 11:02:30,"""GET /robots.txt HTTP/1.1""",404,306.0,"""-""","""Baiduspider+(+http://www.baidu.com/search/spider.htm)"""
66.249.68.229,19/Jul/2011 11:42:44,"""GET /images/grey-corner-right-bottom.gif HTTP/1.1""",404,326.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 12:39:00,"""GET /icons/image2.gif HTTP/1.1""",200,309.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 13:16:29,"""GET /icons/blank.gif HTTP/1.1""",200,148.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 13:53:59,"""GET /images/grey-background.gif HTTP/1.1""",404,320.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 14:12:44,"""GET /icons/folder.gif HTTP/1.1""",200,225.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 15:08:59,"""GET /images/grey-background.gif HTTP/1.1""",404,300.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 15:27:44,"""GET /images/grey-corner-left-top.gif HTTP/1.1""",404,304.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 16:05:14,"""GET /icons/image2.gif HTTP/1.1""",200,309.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 17:01:29,"""GET /robots.txt HTTP/1.1""",404,309.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 17:01:29,"""GET /images/rails.png HTTP/1.1""",404,313.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 17:20:14,"""GET /images/grey-corner-left-top.gif HTTP/1.1""",404,323.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 17:38:58,"""GET /images/spacer-black.gif HTTP/1.1""",404,319.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 17:57:44,"""GET /images/grey-corner-right-bottom.gif HTTP/1.1""",404,307.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 18:16:28,"""GET /images/spacer-white.gif HTTP/1.1""",404,298.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 18:53:58,"""GET /icons/folder.gif HTTP/1.1""",200,225.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 19:12:44,"""GET /icons/back.gif HTTP/1.1""",200,216.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 19:31:28,"""GET /icons/blank.gif HTTP/1.1""",200,148.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.241,19/Jul/2011 19:50:14,"""GET /robots.txt HTTP/1.1""",404,286.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 19:50:14,"""GET /icons/back.gif HTTP/1.1""",200,216.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.209,19/Jul/2011 20:08:58,"""GET /icons/unknown.gif HTTP/1.1""",200,245.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 20:27:44,"""GET /robots.txt HTTP/1.1""",404,289.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,19/Jul/2011 20:27:44,"""GET /images/rails.png HTTP/1.1""",404,293.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 20:46:29,"""GET /robots.txt HTTP/1.1""",404,309.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 20:46:29,"""GET /images/spacer-grey.gif HTTP/1.1""",404,317.0,"""-""","""Googlebot-Image/1.0"""
123.125.71.35,19/Jul/2011 23:49:53,"""GET / HTTP/1.1""",200,51.0,"""-""","""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"""
24.148.0.215,20/Jul/2011 14:19:28,"""GET / HTTP/1.1""",200,51.0,"""-""","""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"""
24.148.0.215,20/Jul/2011 14:19:28,"""GET /favicon.ico HTTP/1.1""",200,51.0,"""-""","""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"""
24.148.0.215,20/Jul/2011 14:44:20,"""GET / HTTP/1.1""",302,20.0,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:20,"""GET /wp-admin/install.php HTTP/1.1""",200,1582.0,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:20,"""GET /wp-admin/css/install.css?ver=20100605 HTTP/1.1""",200,3049.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:20,"""GET /wp-admin/images/wordpress-logo.png HTTP/1.1""",200,2334.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:22,"""GET /wp-admin/js/password-strength-meter.js HTTP/1.1""",200,374.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:22,"""GET /wp-includes/js/jquery/jquery.js HTTP/1.1""",200,72194.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:23,"""GET /wp-admin/js/user-profile.js HTTP/1.1""",200,2022.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:23,"""GET /wp-admin/js/utils.js HTTP/1.1""",200,2083.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:23,"""GET /wp-admin/images/white-grad.png HTTP/1.1""",200,210.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:23,"""GET /favicon.ico HTTP/1.1""",200,,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:24,"""GET /favicon.ico HTTP/1.1""",200,,"""-""","""Mozilla/5.0 (compatible; Google Desktop/5.9.1005.12335; http://desktop.google.com/)"""
24.148.0.215,20/Jul/2011 14:44:41,"""GET /wp-admin/images/white-grad-active.png HTTP/1.1""",200,223.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:42,"""POST /wp-admin/install.php?step=2 HTTP/1.1""",200,860.0,"""http://www.npcassoc.org/wp-admin/install.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:42,"""GET /favicon.ico HTTP/1.1""",404,289.0,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:44,"""GET /wp-login.php HTTP/1.1""",200,969.0,"""http://www.npcassoc.org/wp-admin/install.php?step=2""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:46,"""GET /wp-admin/css/login.css?ver=20100601 HTTP/1.1""",200,2079.0,"""http://www.npcassoc.org/wp-login.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:46,"""GET /wp-admin/css/colors-fresh.css?ver=20100610 HTTP/1.1""",200,30225.0,"""http://www.npcassoc.org/wp-login.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:46,"""GET /wp-admin/images/logo-login.gif HTTP/1.1""",200,4816.0,"""http://www.npcassoc.org/wp-login.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:46,"""GET /wp-admin/images/button-grad.png HTTP/1.1""",200,243.0,"""http://www.npcassoc.org/wp-login.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:46,"""GET /favicon.ico HTTP/1.1""",404,289.0,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:58,"""GET /wp-admin/images/button-grad-active.png HTTP/1.1""",200,284.0,"""http://www.npcassoc.org/wp-login.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:58,"""POST /wp-login.php HTTP/1.1""",302,20.0,"""http://www.npcassoc.org/wp-login.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:44:59,"""GET /wp-admin/ HTTP/1.1""",200,7547.0,"""http://www.npcassoc.org/wp-login.php""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-includes/js/thickbox/thickbox.css?ver=20090514 HTTP/1.1""",200,3864.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/load-styles.php?c=0&dir=ltr&load=dashboard,plugin-install,global,wp-admin&ver=030f653716b08ff25b8bfcccabe4bdbd HTTP/1.1""",200,65579.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/load-scripts.php?c=0&load=jquery,utils,quicktags&ver=b50ff5b9792a9e89a2e131ad3119a463 HTTP/1.1""",200,85683.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/wp-logo.png?ver=20100531 HTTP/1.1""",200,2251.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/menu.png?ver=20100531 HTTP/1.1""",200,12527.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/fav-arrow.gif?ver=20100531 HTTP/1.1""",200,241.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-includes/images/blank.gif HTTP/1.1""",200,43.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/menu-bits.gif?ver=20100610 HTTP/1.1""",200,1139.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/menu-dark.gif HTTP/1.1""",200,245.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/menu-arrows.gif HTTP/1.1""",200,330.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/screen-options-right.gif?ver=20100531 HTTP/1.1""",200,178.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/icons32.png?ver=20100531 HTTP/1.1""",200,14649.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/gray-grad.png HTTP/1.1""",200,213.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/images/wpspin_light.gif HTTP/1.1""",200,2193.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/load-scripts.php?c=0&load=hoverIntent,common,jquery-color,wp-ajax-response,wp-lists,jquery-ui-core,jquery-ui-resizable,admin-comments,jquery-ui-sortable,postbox,dashboard,thickbox,plugin-install,media-upload&ver=1c33e12a06a28402104d18bdc95ada53 HTTP/1.1""",200,99845.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.1""",200,5886.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&1311191083417 HTTP/1.1""",200,1114.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/index-extra.php?jax=dashboard_incoming_links HTTP/1.1""",200,205.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:00,"""GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&1311191083652 HTTP/1.1""",200,572.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:01,"""GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&1311191083914 HTTP/1.1""",200,1.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:01,"""GET /wp-admin/index-extra.php?jax=dashboard_primary HTTP/1.1""",200,630.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:01,"""GET /favicon.ico HTTP/1.1""",404,289.0,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,20/Jul/2011 14:45:01,"""GET /wp-admin/index-extra.php?jax=dashboard_secondary HTTP/1.1""",200,1145.0,"""http://www.npcassoc.org/wp-admin/""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
